Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
963,Julio Cesar PÉREZ MORALES,22/05/1982,MEX,11,"Berkeley, CA (USA)",24/04/2009,1128,27.0,2009,2000-2009,26-30,28:02:50,1682.5
964,Seth SUMMERSIDE,14/02/1984,USA,16,"Palo Alto, CA (USA)",29/04/2007,1128,23.0,2007,2000-2009,20-25,28:02:51,1682.51
965,Tadashi FUKUSHIMA,05/10/1964,JPN,2,Kumamoto (JPN),04/04/1993,1128,29.0,1993,1990-1999,26-30,28:02:54,1682.54
966,Jan FITSCHEN,02/05/1977,GER,10f1,"Palo Alto, CA (USA)",04/05/2008,1128,31.0,2008,2000-2009,31-35,28:02:55,1682.55
967,Robert DE CASTELLA,27/02/1957,AUS,2,Melbourne (AUS),15/12/1983,1128,27.0,1983,1980-1989,26-30,28:02:73,1682.73
967,Mario MACIAS,20/12/1980,USA,5,"Palo Alto, CA (USA)",30/04/2006,1128,25.0,2006,2000-2009,20-25,28:02:73,1682.73
969,José Manuel SENA,13/07/1955,POR,4,Lisboa (POR),30/05/1981,1128,26.0,1981,1980-1989,26-30,28:02:8,1682.8
970,Ahmed Ibrahim WARSAMA,04/02/1966,QAT,1,Doha (QAT),16/04/2003,1128,37.0,2003,2000-2009,36-41,28:02:80,1682.8
971,David Kipruto KEMEI,03/04/1972,KEN,1,Parma (ITA),17/06/1996,1127,24.0,1996,1990-1999,20-25,28:02:83,1682.83
972,Surendra Singh KUMAR,01/10/1978,IND,,Vigo (ESP),12/07/2008,1127,31.0,2008,2000-2009,31-35,28:02:89,1682.89
972,Zouhair TALBI,08/04/1995,MAR,1f1,"Portland, OR (USA)",08/06/2019,1127,24.0,2019,2010-2019,20-25,28:02:89,1682.89
974,Hans-Jürgen ORTHMANN,05/02/1954,FRG,2,Aachen (GER),29/05/1985,1127,31.0,1985,1980-1989,31-35,28:02:92,1682.92
975,Katsumi IKEDA,21/04/1967,JPN,1,Kobe (JPN),29/04/1991,1127,24.0,1991,1990-1999,20-25,28:02:93,1682.93
976,Tom ANSBERRY,22/08/1963,USA,5,Montréal (CAN),10/07/1995,1127,32.0,1995,1990-1999,31-35,28:03:0,1683.0
977,Toshiaki TEZUKA,07/12/1976,JPN,1,Tottori (JPN),11/06/2000,1127,24.0,2000,2000-2009,20-25,28:03:00,1683.0
978,Chris GRAFF,05/10/1975,USA,6,"Palo Alto, CA (USA)",01/05/2005,1127,30.0,2005,2000-2009,26-30,28:03:11,1683.11
979,Greg FREDERICKS,01/05/1950,USA,2,"Eugene, OR (USA)",24/06/1980,1127,30.0,1980,1980-1989,26-30,28:03:14,1683.14
980,Mulue ANDOM,12/10/1991,ERI,5,Wageningen (NED),30/05/2012,1127,20.0,2012,2010-2019,20-25,28:03:21,1683.21
980,Wilson Kiprono TOO,14/03/1991,KEN,15,"Hayward Field, Eugene, OR (USA)",30/05/2014,1127,23.0,2014,2010-2019,20-25,28:03:21,1683.21
982,Hiromitsu KAKUAGE,14/09/1990,JPN,6f1,Fukagawa (JPN),25/06/2011,1127,21.0,2011,2010-2019,20-25,28:03:27,1683.27
982,Brendan GREGG,15/05/1989,USA,17f1,"Palo Alto, CA (USA)",02/05/2015,1127,26.0,2015,2010-2019,26-30,28:03:27,1683.27
984,Robert DENMARK,23/11/1968,GBR,3,Watford (GBR),22/07/2000,1127,32.0,2000,2000-2009,31-35,28:03:31,1683.31
985,Julian PAYNTER,15/07/1970,AUS,6,Melbourne (AUS),14/12/1995,1127,25.0,1995,1990-1999,20-25,28:03:33,1683.33
985,Yusuke OGURA,16/04/1993,JPN,16f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1127,27.0,2020,2020+,26-30,28:03:33,1683.33
987,Lawi LALANG,15/06/1991,USA,6,"Palo Alto, CA (USA)",02/05/2019,1127,28.0,2019,2010-2019,26-30,28:03:34,1683.34
988,Tomoki ICHIMURA,07/05/1999,JPN,6,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1127,22.0,2021,2020+,20-25,28:03:37,1683.37
989,John KOSGEI,15/07/1973,KEN,5,Villeneuve d'Ascq (FRA),29/06/1997,1127,24.0,1997,1990-1999,20-25,28:03:40,1683.4
990,Yuko MATSUMIYA,21/02/1980,JPN,4f1,Hachioji (JPN),28/11/2000,1127,21.0,2000,2000-2009,20-25,28:03:43,1683.43
990,Benjamin NGANDU,21/03/1990,KEN,7f1,Fukagawa (JPN),25/06/2011,1127,21.0,2011,2010-2019,20-25,28:03:43,1683.43
992,Ryan SHAY,04/05/1979,USA,17,"Palo Alto, CA (USA)",29/04/2007,1127,28.0,2007,2000-2009,26-30,28:03:44,1683.44
993,Gebretsadik ABRAHA,16/07/1992,ETH,2,"Croix-Bleue Medavie Stadium, Moncton (CAN)",20/07/2010,1127,18.0,2010,2010-2019,0-19,28:03:45,1683.45
993,Mathanga MBULELI,24/09/1993,RSA,2,"Kings Park Athletics Stadium, Durban (RSA)",26/03/2021,1127,28.0,2021,2020+,26-30,28:03:45,1683.45
995,Yuma HIGASHI,29/11/1995,JPN,5f6,Machida (JPN),24/11/2018,1126,23.0,2018,2010-2019,20-25,28:03:46,1683.46
996,Eliud LANGAT,01/01/1977,KEN,8,Stockholm (SWE),30/07/1999,1126,23.0,1999,1990-1999,20-25,28:03:67,1683.67
997,Fernando COUTO,04/12/1959,POR,4,Maia (POR),25/04/1992,1126,33.0,1992,1990-1999,31-35,28:03:69,1683.69
998,Meck MOTHULI,12/04/1976,RSA,1,Port Elizabeth (RSA),14/02/1997,1126,20.0,1997,1990-1999,20-25,28:03:74,1683.74
999,Juan Carlos PAUL,06/05/1964,ESP,2,"Olympiastadion, Berlin (GER)",17/08/1990,1126,26.0,1990,1990-1999,26-30,28:03:78,1683.78
1000,Gaston ROELANTS,05/02/1937,BEL,1,Bruxelles (BEL),05/08/1972,1126,35.0,1972,1970-1979,31-35,28:03:8,1683.8
1001,Muryo TAKASE,31/01/1989,JPN,6f1,Abashiri (JPN),06/07/2014,1126,25.0,2014,2010-2019,20-25,28:03:81,1683.81
1001,Taisei NAKAMURA,28/03/1998,JPN,17f8,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",21/11/2020,1126,23.0,2020,2020+,20-25,28:03:81,1683.81
1003,Kenji NOGUCHI,23/02/1975,JPN,18,"Palo Alto, CA (USA)",29/04/2007,1126,32.0,2007,2000-2009,31-35,28:03:83,1683.83
1004,Eric SEBAHIRE,06/01/1985,RWA,9,"Hampden Park, Glasgow (GBR)",01/08/2014,1126,29.0,2014,2010-2019,26-30,28:03:88,1683.88
1005,Abraham TADESSE,31/12/1954,ETH,5,Moskva (URS),12/06/1980,1126,26.0,1980,1980-1989,26-30,28:03:9,1683.9
1006,Kazuya NISHIYAMA,05/11/1998,JPN,2,"Nishishina Athletic Stadium, Nobeoka (JPN)",17/10/2020,1126,22.0,2020,2020+,20-25,28:03:94,1683.94
1006,Samuel BARATA,19/07/1993,POR,1f1,Coimbra (POR),10/04/2021,1126,28.0,2021,2020+,26-30,28:03:94,1683.94
1008,Andy BRISTOW,02/09/1961,GBR,3,"Olympiastadion, Berlin (GER)",17/08/1990,1126,30.0,1990,1990-1999,26-30,28:04:04,1684.04
1009,Carey NELSON,04/06/1963,CAN,2,Victoria (CAN),04/06/1991,1126,28.0,1991,1990-1999,26-30,28:04:05,1684.05
1009,Florian CARVALHO,09/03/1989,FRA,1f1,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",29/08/2020,1126,31.0,2020,2020+,31-35,28:04:05,1684.05
1011,Afewerki BERHANE,06/05/1996,ERI,2,San Sebastián (ESP),24/07/2015,1126,19.0,2015,2010-2019,0-19,28:04:07,1684.07
1012,William MUSYOKI,25/11/1966,KEN,4,"Walnut, CA (USA)",20/04/1991,1126,24.0,1991,1990-1999,20-25,28:04:1,1684.1
1013,Ian ROBINSON,21/04/1969,GBR,2,"Walnut, CA (USA)",20/04/1996,1125,27.0,1996,1990-1999,26-30,28:04:20,1684.2
1013,Jonah KOECH,02/02/1968,KEN,2,Parma (ITA),17/06/1996,1125,28.0,1996,1990-1999,26-30,28:04:20,1684.2
1013,John Morimbori GWAKO,04/09/1978,KEN,6,Villeneuve d'Ascq (FRA),29/06/1997,1125,19.0,1997,1990-1999,0-19,28:04:20,1684.2
1016,Masato KIKUCHI,18/09/1990,JPN,14f1,Tokyo (JPN),29/11/2014,1125,24.0,2014,2010-2019,20-25,28:04:25,1684.25
1017,Zerei KBROM,12/01/1986,NOR,1f3,"Fana Stadion, Bergen (NOR)",20/09/2020,1125,34.0,2020,2020+,31-35,28:04:29,1684.29
1018,Zach PANNING,nan,USA,12f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1125,,2020,2020+,40+,28:04:32,1684.32
1019,Margarito ZAMORA,16/10/1972,MEX,1,Abbotsford (CAN),18/07/1997,1125,25.0,1997,1990-1999,20-25,28:04:33,1684.33
1020,Ivan UVIZL,16/08/1958,TCH,1,Praha (TCH),06/08/1986,1125,28.0,1986,1980-1989,26-30,28:04:4,1684.4
1021,Kenta MUROTSUKA,12/02/1986,JPN,3,Yokohama (JPN),02/12/2007,1125,20.0,2007,2000-2009,20-25,28:04:40,1684.4
1022,Bill RODGERS,23/12/1947,USA,4,"Eugene, OR (USA)",22/06/1976,1125,28.0,1976,1970-1979,26-30,28:04:42,1684.42
1022,Simon KARORI,25/08/1959,KEN,16,Oslo (NOR),06/07/1991,1125,32.0,1991,1990-1999,31-35,28:04:42,1684.42
1024,Tyler DAY,18/12/1996,USA,5,"Palo Alto, CA (USA)",03/05/2018,1125,21.0,2018,2010-2019,20-25,28:04:44,1684.44
1025,Jacob KORIR,15/08/1980,KEN,2f1,"Palo Alto, CA (USA)",04/04/2008,1125,28.0,2008,2000-2009,26-30,28:04:47,1684.47
1026,Mark STEINLE,22/11/1974,GBR,4,Watford (GBR),22/07/2000,1125,26.0,2000,2000-2009,26-30,28:04:48,1684.48
1027,Luigi ZARCONE,18/06/1950,ITA,1,Roma (ITA),27/06/1978,1125,28.0,1978,1970-1979,26-30,28:04:5,1684.5
1027,Augustin TOGAM,06/12/1983,KEN,2,Eldoret (KEN),03/06/2005,1125,22.0,2005,2000-2009,20-25,28:04:5,1684.5
1029,Alyan Sultan AL QAHTANI,23/08/1971,KSA,1,Maia (POR),19/07/1995,1125,24.0,1995,1990-1999,20-25,28:04:55,1684.55
1030,Tsegaye TADESE,nan,ETH,1,Tel Aviv (ISR),18/01/2015,1125,,2015,2010-2019,40+,28:04:57,1684.57
1031,Ali Abdallah AFRINGI,02/11/1982,ERI,,Vigo (ESP),12/07/2008,1125,27.0,2008,2000-2009,26-30,28:04:58,1684.58
1032,Gianni DEMADONNA,14/06/1954,ITA,4,Stockholm (SWE),02/07/1984,1125,30.0,1984,1980-1989,26-30,28:04:60,1684.6
1033,Thierry WATRICE,23/01/1957,FRA,4,Firenze (ITA),13/06/1984,1125,27.0,1984,1980-1989,26-30,28:04:61,1684.61
1034,David FITZSIMMONS,23/04/1950,AUS,9,London (GBR),09/09/1977,1125,27.0,1977,1970-1979,26-30,28:04:64,1684.64
1035,Ali AL DAWOODI,29/06/1984,QAT,1,Naimette-Xhovémont (BEL),28/06/2007,1125,23.0,2007,2000-2009,20-25,28:04:74,1684.74
1036,Mohamed BAKET,27/08/1968,PLE,1,Troisdorf (GER),24/08/1996,1124,28.0,1996,1990-1999,26-30,28:04:76,1684.76
1037,Dan MIDDLEMAN,19/10/1969,USA,3,"Walnut, CA (USA)",20/04/1996,1124,27.0,1996,1990-1999,26-30,28:04:80,1684.8
1038,Mykola LABOVSKIY,04/05/1983,UKR,1,Yalta (UKR),27/05/2012,1124,29.0,2012,2010-2019,26-30,28:04:90,1684.9
1039,Alfred CHELANGA,02/04/1994,KEN,2f1,"Palo Alto, CA (USA)",31/03/2017,1124,23.0,2017,2010-2019,20-25,28:04:95,1684.95
1040,Gabriel Gerald GEAY,10/09/1996,TAN,1,"Portland, OR (USA)",11/06/2016,1124,20.0,2016,2010-2019,20-25,28:04:98,1684.98
1041,Herb LINDSAY,12/11/1954,USA,6,"Eugene, OR (USA)",07/04/1984,1124,30.0,1984,1980-1989,26-30,28:05:07,1685.07
1042,Eduardo HENRIQUES,24/03/1968,POR,2,Athina (GRE),12/04/2003,1124,36.0,2003,2000-2009,36-41,28:05:09,1685.09
1043,Glenn HEROLD,23/11/1950,USA,4,Stockholm (SWE),30/06/1975,1124,25.0,1975,1970-1979,20-25,28:05:15,1685.15
1044,Haron LAGAT,15/08/1983,KEN,12,"Berkeley, CA (USA)",24/04/2009,1124,26.0,2009,2000-2009,26-30,28:05:23,1685.23
1045,Daniel Muchunu MWANGI,01/01/1984,KEN,4,Kumagaya (JPN),20/05/2007,1124,23.0,2007,2000-2009,20-25,28:05:30,1685.3
1046,Gen HACHISUKA,29/11/1994,JPN,6f6,Machida (JPN),24/11/2018,1124,24.0,2018,2010-2019,20-25,28:05:32,1685.32
1047,Dominic Chemut KIPTARUS,19/08/1996,KEN,1,"Bislett Stadion, Oslo (NOR)",07/06/2018,1124,22.0,2018,2010-2019,20-25,28:05:34,1685.34
1048,Salvatore NICOSIA,08/03/1963,ITA,5,Stockholm (SWE),02/07/1984,1124,21.0,1984,1980-1989,20-25,28:05:35,1685.35
1049,Yuhei URANO,01/11/1997,JPN,18f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1124,23.0,2020,2020+,20-25,28:05:37,1685.37
1050,Tomoaki KUNICHIKA,22/04/1973,JPN,7,Okayama (JPN),27/09/2003,1124,30.0,2003,2000-2009,26-30,28:05:38,1685.38
1051,Onbeche MOKAMBA,06/04/1981,KEN,2,Shizuoka (JPN),03/05/2006,1124,25.0,2006,2000-2009,20-25,28:05:40,1685.4
1052,Pete JULIAN,11/05/1971,USA,4,"Palo Alto, CA (USA)",08/05/1999,1123,28.0,1999,1990-1999,26-30,28:05:42,1685.42
1053,Isaac Korir MADARENG,26/08/1990,KEN,13,Nairobi (KEN),26/06/2010,1123,20.0,2010,2010-2019,20-25,28:05:46,1685.46
1054,Tadesse TESFAHUN,01/01/1999,ETH,10,"Blankers-Koen Stadion, Hengelo (NED)",11/06/2017,1123,19.0,2017,2010-2019,0-19,28:05:54,1685.54
1055,Martin VRÁBEĽ,21/09/1955,TCH,6,"Stadio Olimpico, Roma (ITA)",29/08/1987,1123,32.0,1987,1980-1989,31-35,28:05:59,1685.59
1056,Barnabas KOSGEI,01/01/1971,KEN,1,Nairobi (KEN),18/06/2005,1123,34.0,2005,2000-2009,31-35,28:05:6,1685.6
1057,Mauricio DÍAZ,07/08/1968,CHI,13h2,"Olympic Stadium, Sydney (AUS)",22/09/2000,1123,32.0,2000,2000-2009,31-35,28:05:61,1685.61
1058,Dan SHAUGHNESSY,08/09/1944,CAN,5,Stockholm (SWE),30/06/1975,1123,31.0,1975,1970-1979,31-35,28:05:64,1685.64
1059,Abdelhadi HABASSA,13/01/1976,MAR,1,Rabat (MAR),27/06/2001,1123,25.0,2001,2000-2009,20-25,28:05:7,1685.7
1060,Lasse ORIMUS,02/01/1950,FIN,7,Helsinki (FIN),30/06/1977,1123,27.0,1977,1970-1979,26-30,28:05:72,1685.72
1061,Dan DILLON,25/06/1957,USA,4,"Eugene, OR (USA)",10/04/1982,1123,25.0,1982,1980-1989,20-25,28:05:75,1685.75
1062,Tsuyoshi OGATA,11/05/1973,JPN,14,Kobe (JPN),24/04/2004,1123,30.0,2004,2000-2009,26-30,28:05:76,1685.76
1063,Shogo NAKAMURA,16/09/1992,JPN,4,Nobeoka (JPN),11/05/2013,1123,21.0,2013,2010-2019,20-25,28:05:79,1685.79
1064,Naoki OKAMOTO,26/05/1984,JPN,9,Kobe (JPN),24/04/2011,1123,27.0,2011,2010-2019,26-30,28:05:84,1685.84
1065,Manuel PANCORBO,07/07/1966,ESP,5,Lisboa (POR),01/04/2000,1123,33.0,2000,2000-2009,31-35,28:05:86,1685.86
1066,Evans Kipkorir TAIGET,01/01/1985,KEN,14,Nairobi (KEN),26/06/2010,1123,25.0,2010,2010-2019,20-25,28:05:89,1685.89
1067,Solomon BUSHENDICH,10/01/1984,KEN,5,Pontevedra (ESP),20/07/2003,1123,19.0,2003,2000-2009,0-19,28:05:99,1685.99
1068,Ibrahim JUMA-KIVINA,25/02/1958,TAN,2,"Eugene, OR (USA)",01/06/1984,1123,26.0,1984,1980-1989,26-30,28:06:00,1686.0
1069,Tsubasa HAYAKAWA,02/07/1990,JPN,20f7,Hachioji (JPN),28/11/2015,1122,26.0,2015,2010-2019,26-30,28:06:10,1686.1
1070,Barry SMITH,16/04/1953,GBR,1,London (GBR),07/08/1981,1122,28.0,1981,1980-1989,26-30,28:06:13,1686.13
1071,Alberto CHAICA,17/09/1973,POR,6,Lisboa (POR),01/04/2000,1122,26.0,2000,2000-2009,26-30,28:06:15,1686.15
1072,David BURRIDGE,20/01/1962,NZL,2,Melbourne (AUS),05/02/1987,1122,25.0,1987,1980-1989,20-25,28:06:16,1686.16
1073,Paul GEIS,23/02/1953,USA,1,"Eugene, OR (USA)",06/06/1980,1122,27.0,1980,1980-1989,26-30,28:06:22,1686.22
1073,Takashi OTA,27/04/1976,JPN,16,Kobe (JPN),24/04/2004,1122,28.0,2004,2000-2009,26-30,28:06:22,1686.22
1075,Rod DEHAVEN,21/09/1966,USA,2,Port Coquitlam (CAN),27/05/1995,1122,29.0,1995,1990-1999,26-30,28:06:25,1686.25
1076,Nicodemus NAIMADU,24/04/1984,KEN,1,"Palo Alto, CA (USA)",30/03/2007,1122,23.0,2007,2000-2009,20-25,28:06:26,1686.26
1077,Namakoe NKHASI,10/01/1993,LES,3,Durban (RSA),22/06/2016,1122,23.0,2016,2010-2019,20-25,28:06:33,1686.33
1078,Mustapha BAMOUH,21/12/1972,MAR,8,Bratislava (SVK),29/05/1996,1122,23.0,1996,1990-1999,20-25,28:06:39,1686.39
1079,Kipchoge KEINO,17/01/1940,KEN,2,Leningrad (URS),21/07/1968,1122,29.0,1968,1960-1969,26-30,28:06:4,1686.4
1080,Thomas LOTIK,07/07/1970,KEN,1,Troisdorf (GER),29/08/1998,1122,28.0,1998,1990-1999,26-30,28:06:40,1686.4
1080,Kemoy CAMPBELL,14/01/1991,JAM,3f1,"Palo Alto, CA (USA)",31/03/2017,1122,26.0,2017,2010-2019,26-30,28:06:40,1686.4
1082,Richard KIPLAGAT,05/01/1981,KEN,20,"Palo Alto, CA (USA)",29/04/2007,1122,26.0,2007,2000-2009,26-30,28:06:43,1686.43
1083,Gabriel KIPRONO,05/06/1976,KEN,2,Troisdorf (GER),29/08/1998,1122,22.0,1998,1990-1999,20-25,28:06:44,1686.44
1084,Joseph KIPTUM,01/01/1956,KEN,3,Aachen (GER),30/05/1984,1122,28.0,1984,1980-1989,26-30,28:06:5,1686.5
1085,Shoma FUNATSU,25/09/1997,JPN,2f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1122,23.0,2020,2020+,20-25,28:06:56,1686.56
1086,Seppo LIUTTU,29/12/1956,FIN,6,Stockholm (SWE),02/07/1984,1122,27.0,1984,1980-1989,26-30,28:06:58,1686.58
1086,Weldon JOHNSON,24/07/1973,USA,4,"Palo Alto, CA (USA)",19/06/2003,1122,30.0,2003,2000-2009,26-30,28:06:58,1686.58
1088,Dick TAYLOR,03/01/1945,GBR,1,London (GBR),22/06/1969,1122,24.0,1969,1960-1969,20-25,28:06:6,1686.6
1089,Barnabas Kiplagat KOSGEI,20/08/1986,KEN,15,Hengelo (NED),29/05/2005,1122,19.0,2005,2000-2009,0-19,28:06:62,1686.62
1090,Joseph NZAU,14/04/1950,KEN,2,"Austin, TX (USA)",05/04/1984,1122,34.0,1984,1980-1989,31-35,28:06:63,1686.63
1091,German FERNANDEZ,02/11/1990,USA,5f1,"Palo Alto, CA (USA)",01/04/2016,1122,26.0,2016,2010-2019,26-30,28:06:64,1686.64
1092,Luís JESUS,19/11/1968,POR,6,Getxo (ESP),02/05/1993,1122,24.0,1993,1990-1999,20-25,28:06:70,1686.7
1092,Paolo DONATI,22/01/1962,ITA,7,Helsinki (FIN),29/06/1994,1122,32.0,1994,1990-1999,31-35,28:06:70,1686.7
1094,Vladimir MERKUSHIN,16/02/1947,URS,4,Vilnius (LTU),18/07/1978,1121,31.0,1978,1970-1979,31-35,28:06:80,1686.8
1095,Geoffrey KORIR,01/12/1996,KEN,2,Nairobi (KEN),04/06/2015,1121,19.0,2015,2010-2019,0-19,28:06:8,1686.8
1096,Benjamin FLANAGAN,11/01/1995,CAN,3,"Los Angeles, CA (USA)",29/08/2020,1121,25.0,2020,2020+,20-25,28:06:88,1686.88
1097,Toshihiro IWASA,18/05/1976,JPN,1,Montréal (CAN),07/07/2000,1121,24.0,2000,2000-2009,20-25,28:06:89,1686.89
1098,Shinichiro NAKAMURA,14/04/1993,JPN,3f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1121,27.0,2020,2020+,26-30,28:06:91,1686.91
1099,Juma MNYAMPANDA,11/10/1967,TAN,2,Kobe (JPN),29/04/1987,1121,19.0,1987,1980-1989,0-19,28:06:99,1686.99
1100,Vladimir SHESTEROV,16/01/1954,URS,2,Moskva (URS),04/07/1980,1121,26.0,1980,1980-1989,26-30,28:07:00,1687.0
1101,Peter NDEGWA,01/01/1974,KEN,2,Nairobi (KEN),18/06/2005,1121,31.0,2005,2000-2009,31-35,28:07:0,1687.0
1102,Don CLARY,29/07/1957,USA,7,"Eugene, OR (USA)",07/04/1984,1121,27.0,1984,1980-1989,26-30,28:07:01,1687.01
1102,Fabien PALCAU,22/06/1997,FRA,2f1,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",29/08/2020,1121,23.0,2020,2020+,20-25,28:07:01,1687.01
1104,Suehiro ISHIKAWA,27/09/1979,JPN,14,"Berkeley, CA (USA)",24/04/2009,1121,30.0,2009,2000-2009,26-30,28:07:04,1687.04
1105,Hiroyuki IKEGAYA,29/04/1975,JPN,7,Sendai (JPN),07/10/2000,1121,25.0,2000,2000-2009,20-25,28:07:09,1687.09
1106,Monder RIZKI,16/08/1979,BEL,2,Neerpelt (BEL),05/06/2006,1121,27.0,2006,2000-2009,26-30,28:07:10,1687.1
1107,Brian SHERIFF,11/11/1961,ZIM,2,"Eugene, OR (USA)",06/06/1987,1121,26.0,1987,1980-1989,26-30,28:07:12,1687.12
1108,Antonio ABADÍA,02/07/1990,ESP,1f1,Maia (POR),09/04/2016,1121,27.0,2016,2010-2019,26-30,28:07:14,1687.14
1109,Benson LOKORWA,05/05/1971,KEN,1,Osnabrück (GER),24/05/1997,1121,26.0,1997,1990-1999,26-30,28:07:16,1687.16
1110,Spiridon ANDRIOPOULOS,01/08/1962,GRE,7,"Stadio Olimpico, Roma (ITA)",29/08/1987,1121,26.0,1987,1980-1989,26-30,28:07:17,1687.17
1111,Eric GILLIS,08/03/1980,CAN,12f1,"Palo Alto, CA (USA)",04/05/2008,1121,28.0,2008,2000-2009,26-30,28:07:19,1687.19
1112,Tomoaki BUNGO,28/01/1986,JPN,7,Kawasaki (JPN),26/06/2008,1121,22.0,2008,2000-2009,20-25,28:07:20,1687.2
1113,Mohamed Ali CHOURI,07/05/1962,TUN,7,Stockholm (SWE),02/07/1984,1121,22.0,1984,1980-1989,20-25,28:07:24,1687.24
1114,Peter KOECH,18/02/1958,KEN,4,Paris (FRA),09/07/1982,1121,25.0,1982,1980-1989,20-25,28:07:28,1687.28
1115,Aleksandr KHUDYAKOV,08/07/1960,URS,4,Moskva (URS),17/08/1984,1121,24.0,1984,1980-1989,20-25,28:07:30,1687.3
1116,Daisuke ISOMATSU,17/12/1973,JPN,7,Osaka (JPN),08/06/1996,1121,23.0,1996,1990-1999,20-25,28:07:32,1687.32
1117,Sho NAGATO,13/01/1997,JPN,4f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1121,23.0,2020,2020+,20-25,28:07:34,1687.34
1118,Peter BII,01/01/1973,KEN,15,Nairobi (KEN),26/06/2010,1120,37.0,2010,2010-2019,36-41,28:07:38,1687.38
1119,Kipsubai KOSKEI,01/02/1951,KEN,1,"Des Moines, IA (USA)",26/04/1980,1120,29.0,1980,1980-1989,26-30,28:07:40,1687.4
1120,Sammy KIBIWOT BITOK,15/03/1967,KEN,1,Nairobi (KEN),15/04/1989,1120,22.0,1989,1980-1989,20-25,28:07:4,1687.4
1120,José DIAS,04/02/1968,POR,3,Maia (POR),20/07/1994,1120,26.0,1994,1990-1999,26-30,28:07:40,1687.4
1121,David Kiprotich BETT,18/10/1992,KEN,5,Nairobi (KEN),11/07/2015,1120,23.0,2015,2010-2019,20-25,28:07:4,1687.4
1123,John NUTTALL,11/01/1967,GBR,15,Bruxelles (BEL),25/08/1995,1120,28.0,1995,1990-1999,26-30,28:07:43,1687.43
1124,Brad BARQUIST,24/02/1968,USA,4,"Walnut, CA (USA)",21/04/1996,1120,28.0,1996,1990-1999,26-30,28:07:50,1687.5
1125,Charles BORE,04/06/1988,KEN,3,Nairobi (KEN),07/06/2014,1120,26.0,2014,2010-2019,26-30,28:07:5,1687.5
1126,Alex Kapcheromit CHEROP,02/06/1994,UGA,7,Leiden (NED),11/06/2016,1120,23.0,2016,2010-2019,20-25,28:07:55,1687.55
1127,Tim HUTCHINGS,04/12/1958,GBR,2,Hechtel (BEL),07/07/1990,1120,32.0,1990,1990-1999,31-35,28:07:57,1687.57
1127,Takashi HORIGUCHI,26/09/1979,JPN,4,Yokohama (JPN),02/12/2007,1120,27.0,2007,2000-2009,26-30,28:07:57,1687.57
1129,Mickael THOMAS,23/03/1971,FRA,8,Lille (FRA),11/07/1998,1120,28.0,1998,1990-1999,26-30,28:07:59,1687.59
1130,Willy POLLEUNIS,27/12/1947,BEL,1,Bruxelles (BEL),14/09/1973,1120,26.0,1973,1970-1979,26-30,28:07:6,1687.6
1131,Stephen SAMOEI,20/06/1982,USA,2,"Palo Alto, CA (USA)",30/03/2007,1120,25.0,2007,2000-2009,20-25,28:07:65,1687.65
1132,Jackson Kavesa MUEMA,03/09/2001,KEN,19f8,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",21/11/2020,1120,20.0,2020,2020+,20-25,28:07:69,1687.69
1133,Petro META,18/12/1973,TAN,1,Formia (ITA),08/07/1991,1120,18.0,1991,1990-1999,0-19,28:07:70,1687.7
1133,Conner MANTZ,08/12/1996,USA,4,"Los Angeles, CA (USA)",29/08/2020,1120,24.0,2020,2020+,20-25,28:07:70,1687.7
1135,Ronaldo DA COSTA,07/06/1970,BRA,1,Abbotsford (CAN),02/06/1996,1120,26.0,1996,1990-1999,26-30,28:07:73,1687.73
1136,Nahom Mesfin TARIKU,03/06/1989,ETH,1,Shibetsu (JPN),20/06/2010,1120,21.0,2010,2010-2019,20-25,28:07:80,1687.8
1137,João CAMPOS,22/09/1958,POR,1,Maia (POR),25/06/1991,1120,33.0,1991,1990-1999,31-35,28:07:86,1687.86
1138,Noah DRODDY,22/09/1990,USA,6,"Palo Alto, CA (USA)",03/05/2018,1120,27.0,2018,2010-2019,26-30,28:07:88,1687.88
1139,Masahiro FUKUMOTO,08/04/1997,JPN,5f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1120,23.0,2020,2020+,20-25,28:07:89,1687.89
1140,Ryan HALL,14/10/1982,USA,3,"Palo Alto, CA (USA)",30/03/2007,1120,24.0,2007,2000-2009,20-25,28:07:93,1687.93
1141,Nikolay RADOSTEV,15/08/1954,URS,5,Vilnius (LTU),18/07/1978,1120,24.0,1978,1970-1979,20-25,28:08:00,1688.0
